poem,tone
The flame flickers out alone in the dusk,Melancholy
Raindrops echo where laughter once lived,Melancholy
Silence hums louder than memory's cry,Melancholy
The sun blooms bright across the hill,Joyful
Laughter dances through the open door,Joyful
Balloons and wind in perfect play,Joyful
Fists clenched tight in trembling rage,Angry
Words burn sharp as shattered glass,Angry
Doors slammed shut behind heavy breath,Angry
"A sprout cracks stone, green and bold",Hopeful
Stars blink over weary shoulders,Hopeful
"The path bends, but I walk still",Hopeful
The lake sleeps under moon’s hush,Peaceful
Soft winds cradle quiet leaves,Peaceful
Breath slows into morning calm,Peaceful
"Nothing fits, not even the sky",Confused
Dreams spill backwards into thought,Confused
Questions grow louder than answers,Confused
The horizon forgets what it meant,Confused
Even joy tastes strange today,Confused
